"
sample_domain","
noise","0.001
","0.005
","0.01
","0.05
","0.1
","0.5
","1.0
","5.0
","10.0
","50.0
"
[0. 1.],[''],0.058438,0.041732,0.022997,0.003187,0.001138,0.000740,0.000629,0.000056,0.000029,6.034429e-06
"","['adaptive_gaussian_noise', 0.001]",0.046467,0.035678,0.021211,0.003693,0.001352,0.001051,0.000993,0.000043,0.000021,4.144285e-06
"","['adaptive_gaussian_noise', 0.01]",0.064643,0.046910,0.036683,0.008309,0.004312,0.002637,0.001903,0.000137,0.000068,1.389349e-05
"","['adaptive_gaussian_noise', 0.1]",0.109699,0.098376,0.073788,0.032798,0.021206,0.013328,0.010022,0.000776,0.000388,7.970773e-05
"","['constant_bias', [0.000272, 0.0, 0.0]]",0.044240,0.031410,0.019772,0.003120,0.000987,0.001241,0.002149,0.000187,0.000099,2.065859e-05
"","['gaussian', 0.0, 0.146731]",0.120246,0.140413,0.104462,0.043775,0.029795,0.021407,0.018356,0.001844,0.000947,1.963802e-04
"","['gaussian', 0.0, 1.467314]",0.303515,0.366143,0.332942,0.211091,0.157084,0.171394,0.118744,0.010182,0.005135,1.059212e-03
[1. 3.],[''],0.708069,0.818862,0.858633,0.695129,0.608703,0.272538,0.009338,0.000003,0.000002,3.833077e-07
"","['adaptive_gaussian_noise', 0.001]",0.727389,0.801816,0.770563,0.713315,0.623405,0.262048,0.010463,0.000058,0.000029,5.932779e-06
"","['adaptive_gaussian_noise', 0.01]",0.701842,0.775462,0.768409,0.662867,0.621868,0.271412,0.013141,0.000270,0.000130,2.603374e-05
"","['adaptive_gaussian_noise', 0.1]",0.706700,0.761070,0.791744,0.662737,0.600941,0.265835,0.024223,0.001637,0.000810,1.655241e-04
"","['constant_bias', [0.000272, 0.0, 0.0]]",0.714602,0.790547,0.757065,0.659073,0.625916,0.266438,0.009389,0.000005,0.000002,5.403013e-07
"","['gaussian', 0.0, 0.146731]",0.843610,0.887442,0.864752,0.757251,0.750600,0.428222,0.183973,0.016727,0.008495,1.764789e-03
"","['gaussian', 0.0, 1.467314]",1.123919,1.134727,1.122362,1.057735,0.996169,0.654104,0.382846,0.074162,0.038360,7.967138e-03
[3. 5.],[''],0.693520,0.758694,0.720466,0.702011,0.585790,0.278762,0.021351,0.000009,0.000002,4.418779e-07
"","['adaptive_gaussian_noise', 0.001]",0.738673,0.809487,0.802150,0.725109,0.606531,0.290566,0.028410,0.000073,0.000031,5.795736e-06
"","['adaptive_gaussian_noise', 0.01]",0.715175,0.800294,0.772518,0.680844,0.639985,0.302817,0.037042,0.000484,0.000197,3.582977e-05
"","['adaptive_gaussian_noise', 0.1]",0.686351,0.780606,0.782695,0.653174,0.576932,0.414042,0.164532,0.002194,0.000846,1.537676e-04
"","['constant_bias', [0.000272, 0.0, 0.0]]",0.716231,0.797233,0.771499,0.695474,0.605889,0.284253,0.026548,0.000021,0.000004,7.467930e-07
"","['gaussian', 0.0, 0.146731]",1.059019,1.084623,1.081415,1.017183,0.931000,0.562839,0.338266,0.064486,0.033505,6.971209e-03
[3. 5.],"['gaussian', 0.0, 1.467314]",1.342224,1.345036,1.339636,1.316166,1.255993,0.908245,0.595407,0.155475,0.08256,0.017356
